2016-03-19 01:19:37,059 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RESTExampleUMKC
2016-03-19 01:19:37,062 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:31:26,597 [Worker-58] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RESTExampleUMKC:RESTExampleUMKC:0.0.1-SNAPSHOT @ C:\Users\sushm\Lab6\RESTExampleUMKC\pom.xml.
2016-03-19 01:31:26,636 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax-ws-rs/jsr311-api/1.1.1/jsr311-api-1.1.1.pom
2016-03-19 01:31:26,669 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:31:26,670 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:31:26,847 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org-json/json/20140107/json-20140107.pom
2016-03-19 01:31:26,854 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:31:26,855 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:31:27,030 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com-sun-jersey/jersey-server/1.19/jersey-server-1.19.pom
